"","total_pop","white_pop_per","black_pop_per","asian_pop_per","hispanic_pop_per","amerindian_pop_per","commuters_by_public_transportation","deaths","confirmed_cases","deaths_per10000","confirmed_cases_per1000","cluster"
"1650",-0.320236529880363,0.676741127697062,-0.610429283644681,-0.293458424476124,-0.469557375226461,0.237276266813385,-0.0991431068118834,-0.273430499636128,-0.311081040792474,4.38058524618889,43.6306290520414,1
"1651",0.203114470887067,0.510627197212823,-0.580348653240751,-0.267103988020671,-0.273865608174478,0.291631527811049,-0.0768887879223373,0.128584475155954,0.385371572442835,10.7463603101093,90.9410741242996,1
"1652",0.0510726231986536,0.653345132293264,-0.59492056875506,0.0339519904219073,-0.439320427351058,0.0954427302666149,-0.0462469511179811,-0.142713974090236,0.00249777631915973,5.07743082000508,58.4342253854033,1
"1653",-0.291941527941247,0.82275802066579,-0.614722668219481,-0.35540584286067,-0.466144468454267,-0.106684163474032,-0.09842658518097,-0.263565101481721,-0.278083431739121,4.67556756195127,59.6394617902229,1
"1654",-0.327899834808863,-1.02094440948638,-0.614159245216463,-0.149307754703495,-0.316395475918049,4.60787870810927,-0.098637326837121,-0.216704460248288,-0.28290615921615,30.1334481274214,113.323288850624,0
"1655",-0.254856476899411,-0.560371302635726,-0.604442837039817,-0.371483856382252,-0.352771366317393,2.90516859915283,-0.0951390153450143,-0.243834305172907,-0.256254244211518,5.75919777762721,53.4589064299749,1
"1656",-0.211993250605171,0.819935209256136,-0.613264785569789,-0.264418915026209,-0.421060023856824,-0.160750027741982,-0.0986794751683512,-0.221637159325492,-0.222596682977098,6.28216589750405,54.1474376011791,1
"1657",-0.0659895960555195,0.452545661589392,-0.531923989119149,-0.178480232658297,-0.355835577063524,0.323514367915351,-0.0879737990358802,-0.00213205038993742,0.0106202647015236,14.0559303803657,83.5411166519996,1
"1658",0.00232649222556009,0.777966905139119,-0.598393510973939,-0.00604632283064046,-0.423036424642629,-0.126798735198239,-0.0901655122598506,-0.192040964862271,0.165150606175996,3.77234868414522,98.0711385543963,1
"1659",-0.348289570730785,0.853934109793845,-0.610639091361316,-0.112243284593373,-0.5515883458011,-0.240827770484862,-0.0942960487204103,-0.270964150097526,-0.320218840222634,16.4563905650027,87.2188699945145,1
"1660",-0.327654262360636,0.727752361986726,-0.615676039898726,-0.278428525315239,-0.360500792318987,0.0265088311838298,-0.0991852551431136,-0.266031451020323,-0.295952906180322,8.54700854700855,85.042735042735,1
"1661",-0.301984718801831,-0.325067187909474,-0.602088828676596,-0.339728351059249,-0.410941857831535,2.7843812824139,-0.0982579918560492,-0.201906363016678,-0.248639411353052,20.6461015302405,104.930774836046,1
"1662",-0.344244848054101,0.806672210572724,-0.563661449234887,0.0559257472383446,-0.489228559211814,-0.154254449331271,-0.0992274034743438,-0.268497800558925,-0.322706352289733,14.687368862778,56.4414603441041,1
"1663",-0.33671155206878,0.66259163817281,-0.576816399870814,-0.0881008414159622,-0.514224599987242,0.3147247232761,-0.0991431068118834,-0.273430499636128,-0.295039126237306,7.29713952130765,118.797431406889,1
"1664",-0.320550718159712,0.881613011378467,-0.610355028123488,-0.180757469337241,-0.50498334138526,-0.103345282201633,-0.0991009584806532,-0.253699703327314,-0.291587068674801,11.4770018539772,77.8670433477532,1
"1665",-0.014235202591643,0.82023673529225,-0.602594660762825,-0.318664783389605,-0.473651084948571,-0.0684782671774488,-0.0837589659128601,-0.14764667316744,0.126771848569326,5.82441469832652,94.8859558800587,1
"1666",-0.122059564161035,0.748114286146819,-0.598561032518783,-0.258510329776668,-0.440234383765404,0.00412831558562159,-0.0936638237519573,-0.184641916246466,-0.0739551455798399,6.18494493890481,77.9755619248755,1
"1667",-0.236814124673779,0.711601013165913,-0.583129627182667,-0.182285185307637,-0.358391790244133,0.0302765587340124,-0.0950547186825539,-0.145180323628838,-0.176247733645235,16.5150373761372,91.383206814626,1
"1668",-0.353349085436171,1.08911812531831,-0.620097011099352,-0.4882069678925,-0.597680631628791,-0.240827770484862,-0.098848068493272,-0.283295897790535,-0.331234965091215,4.4543429844098,44.988864142539,1
"1669",-0.357534651134631,1.15098682688512,-0.620097011099352,-0.4882069678925,-0.652823715546377,-0.240827770484862,-0.0991009584806532,-0.280829548251933,-0.332656400558128,18.4162062615101,67.219152854512,1
"1670",-0.346310545706836,0.987837042466379,-0.608586041735778,-0.223202214130635,-0.573582971763815,-0.196397799245978,-0.0990166618181928,-0.285762247329137,-0.326818362033304,0,44.82594182165,1
"1671",-0.337455492132527,-1.52332096036726,-0.603493423803594,-0.4882069678925,-0.483002758398168,6.29198245439928,-0.0983001401872794,-0.229036207941297,-0.305090705610481,34.6072825759856,92.6873307252483,0
"1672",-0.350893360953899,0.853429331389999,-0.521067256205346,-0.133562657422263,-0.535849486845289,-0.168021206626155,-0.0992274034743438,-0.280829548251933,-0.322757117842122,6.83760683760684,91.6239316239316,1
"1673",-0.346101086853937,0.945641603996001,-0.592523126753025,-0.4882069678925,-0.460913229240074,-0.212655251764547,-0.0992274034743438,-0.278363198713332,-0.323061711156461,7.0555032925682,61.618062088429,1
"1674",-0.342919479105582,0.936821401826648,-0.602630169885894,-0.4882069678925,-0.499031814152286,-0.204525549683016,-0.0991431068118834,-0.278363198713332,-0.316208361583841,5.84453535943892,77.3426845899084,1
"1675",-0.347722587284143,0.608374448181437,-0.616470024471439,-0.4882069678925,0.103769159876193,-0.240827770484862,-0.0992274034743438,-0.278363198713332,-0.316766782660129,7.88850907178543,101.498816723639,1
"1676",-0.354172475409638,0.401497893773451,-0.609839130475194,-0.4882069678925,0.407209519207458,-0.234228886025061,-0.0992274034743438,-0.27589684917473,-0.330473481805368,19.8314328210213,57.5111551809618,1
"1677",-0.351128099323528,1.10439597599192,-0.612862694589238,-0.4882069678925,-0.609878631582691,-0.236173941829121,-0.0991431068118834,-0.280829548251933,-0.327072189795253,6.99300699300699,63.986013986014,1
"1678",-0.351691471410638,0.93158828107105,-0.620097011099352,-0.4882069678925,-0.5333279595881,-0.211293857861889,-0.0992274034743438,-0.283295897790535,-0.32773214197632,3.69822485207101,62.8698224852071,1
"1679",-0.348567645414806,1.00654000200865,-0.614299828353785,-0.467446158379522,-0.481243188365479,-0.196075907367732,-0.0992274034743438,-0.263565101481721,-0.318238983679432,25.2171476604091,100.028019052956,1
