"","...1","...2","total_pop","no_rent_burden","rent_burden","severe_burden","median_income","commuters_by_public_transportation","cluster","deaths_per10000","confirmed_cases_per1000"
"720",720,720,-0.239612928311662,0.262302789890656,0.607648384314558,0.795811498165538,1.88510314515414,-0.096951393587913,4,18.0799668039954,98.1356886688995
"721",721,721,0.0386856600013126,0.489623984989618,-0.1450497810598,0.956077763113564,0.522152401096905,-0.0658459251400246,4,15.1623180296207,99.1056037400384
"722",722,722,0.0824986738526662,0.528238275631494,0.561308481588114,0.567223930068786,3.06361159577449,-0.0179654208625162,4,6.18222934443965,72.6330602848706
"723",723,723,0.389511181810557,-0.875390202035162,0.0640526904621097,1.85036894392485,-0.00844337770666187,0.1805110709005,4,4.37613611225991,69.9075721581564
"724",724,724,-0.120264718473257,0.158919721866308,0.461126693206556,0.56680952651917,-0.094791051888036,-0.0935373787582667,4,14.0745953553835,103.538113704763
"725",725,725,-0.16775048496942,0.373806194599892,0.441310051542512,0.0220250864296605,0.991953925198569,-0.0964034652819204,4,13.796189268802,98.5308922778627
"726",726,726,18.5567983904777,-0.19706456801097,0.548372103270904,1.13298693293656,0.742140645212703,19.5596815455785,4,16.4721436751187,78.2670212946696
"727",727,727,0.264142835631053,0.541325601892672,-0.544816865038582,0.958429716866805,1.13474795882713,-0.0385759548340845,4,7.90851521956232,70.9168682279731
"728",728,728,1.55040437177105,-0.103958633926973,0.757499777517273,0.892487155358925,1.9195811917354,0.184388717373679,4,12.0513333912603,81.886732577512
"729",729,729,2.12217286979409,-0.406092556915752,0.872467483584061,0.950713539939736,2.3711520673129,0.442294356171279,4,11.8506325911299,79.5053851310186
"730",730,730,2.18265953060816,0.0140878283438231,1.0356476727935,0.496213105803881,2.51081866751263,0.556853520454966,4,12.0231207308695,71.2770910577507
"731",731,731,-0.346429720571417,-0.188366367863151,-0.206364175635977,-0.829597470653216,-0.775961308460183,-0.0987216234995814,4,19.2261475606825,58.3994232155732
"732",732,732,-0.342583622669035,-0.916698384111407,0.577447503942522,-1.26135128188043,-0.552769352051437,-0.0990166618181928,4,7.65403750478377,69.8430922311519
"733",733,733,-0.323183399259089,-1.15705815445997,0.214691696216441,-0.174706081951867,-0.734541885244206,-0.0986794751683512,4,9.43574259294206,62.2759011134176
"734",734,734,-0.299839571239376,-0.786694324122119,0.19677785417485,-0.984821558766914,-0.385489803041054,-0.0979208052062076,4,4.68878208885242,72.4416832727699
"735",735,735,-0.306238900331414,-0.412895800862482,-0.309948035567482,-0.719799157126637,0.322988286885273,-0.098215843524819,4,22.2367560497057,77.5016350555919
"736",736,736,-0.300912145020604,0.562700446036611,0.593826964135784,-0.241190174030437,-0.132854205082829,-0.0977522118812868,4,8.94721145243066,83.9844915001491
"737",737,737,-0.330091930045244,0.093290552607974,0.531126817047565,0.174897192254489,-0.039183759946144,-0.0982579918560492,4,10.3626943005181,90.5008635578584
"738",738,738,-0.301435792152853,0.532319212621286,0.112164141698348,-0.740885285707223,-0.230948824338348,-0.0976257668875962,4,15.6438026474128,98.3152827918171
"739",739,739,-0.289251065089346,0.857869721267744,0.256001979098272,-1.41577083431039,0.495149683199196,-0.098848068493272,4,8.00240072021607,71.7715314594378
"740",740,740,-0.3401098413891,1.81435566487534,-1.79952394084807,-0.415141765721353,0.660751097198987,-0.0989745134869626,4,11.8423278633057,72.0690238538318
